Субъект РФ;Численность студентов, всего человек, 2017;Численность студентов, очная форма, человек, 2017;Численность студентов очно-заочная (вечерняя) форма, человек, 2017;Численность студентов заочная форма, человек, 2017
Южный федеральный округ;420859;224305;9031;187523
   Республика Адыгея;12446;7006;386;5054
   Республика Калмыкия;8243;4548;42;3653
   Краснодарский край;117439;58855;1826;56758
   Астраханская область;29367;16685;1129;11553
   Волгоградская область;62683;33513;1895;27275
   Ростовская область;134514;69521;3153;61840
   г.Севастополь;14226;8627;297;5302
   Республика Крым;41941;25550;303;16088
