Субъект РФ;Численность студентов, всего человек, 2015;Численность студентов, очная форма, человек, 2015;Численность студентов очно-заочная (вечерняя) форма, человек, 2015;Численность студентов заочная форма, человек, 2015
Российская Федерация;4766479;2379588;149102;2237789
Центральный федеральный округ;1455273;730933;72132;652208
   Белгородская область;53050;24803;290;27957
   Брянская область;34540;12894;624;21022
   Владимирская область;33461;13365;217;19879
   Воронежская область;91775;46986;2124;42665
   Ивановская область;31327;17166;188;13973
   Калужская область;22033;10404;303;11326
   Костромская область;13597;6189;466;6942
   Курская область;54632;20190;218;34224
   Липецкая область;24933;10920;1378;12635
   Московская область;111985;39773;4095;68117
   Орловская область;31943;15376;1534;15033
   Рязанская область;35552;16862;738;17952
   Смоленская область;26205;12708;488;13009
   Тамбовская область;29182;14142;430;14610
   Тверская область;29192;14365;45;14782
   Тульская область;34968;15273;590;19105
   Ярославская область;37187;18197;695;18295
   г.Москва;759711;421320;57709;280682
Северо-Западный федеральный округ;464645;266108;18067;180470
   Республика Карелия;14311;7649;0;6662
   Республика Коми;20515;9072;271;11172
   Архангельская область;22691;10678;292;11721
   Вологодская область;24323;10727;457;13139
   Калининградская область;27377;11514;811;15052
   Ленинградская область;9867;2953;61;6853
   Мурманская область;15394;5601;353;9440
   Новгородская область;12489;5141;88;7260
   Псковская область;14365;6071;71;8223
   г.Санкт-Петербург;303313;196702;15663;90948
   Ненецкий автономный округ;0;0;0;0
Южный федеральный округ;470719;231318;8383;231018
   Республика Адыгея;12637;6428;270;5939
   Республика Калмыкия;8546;3858;0;4688
   Краснодарский край;130461;61468;1121;67872
   Астраханская область;37766;15616;1181;20969
   Волгоградская область;71637;36035;1830;33772
   Ростовская область;149160;72304;3408;73448
   г.Севастополь;15152;8440;415;6297
   Республика Крым;45360;27169;158;18033
Северо-Кавказский федеральный округ;256937;111369;4348;141220
   Республика Дагестан;70989;28323;434;42232
   Республика Ингушетия;8862;3785;0;5077
   Кабардино-Балкарская Республика;17070;9650;228;7192
   Карачаево-Черкесская Республика;13125;4809;39;8277
   Республика Северная Осетия - Алания;26094;13957;553;11584
   Чеченская Республика;33121;13303;2055;17763
   Ставропольский край;87676;37542;1039;49095
Приволжский федеральный округ;946023;453122;27202;465699
   Республика Башкортостан;114417;55654;2406;56357
   Республика Марий Эл;19645;9888;398;9359
   Республика Мордовия;30148;15363;608;14177
   Республика Татарстан;163201;81514;2140;79547
   Удмуртская Республика;51290;20760;1329;29201
   Чувашская Республика;38349;16364;1835;20150
   Пермский край;66369;32017;2270;32082
   Кировская область;36202;16778;375;19049
   Нижегородская область;98192;47643;4525;46024
   Оренбургская область;53322;22454;750;30118
   Пензенская область;40159;18151;2717;19291
   Самарская область;110963;56512;4726;49725
   Саратовская область;84494;41288;1830;41376
   Ульяновская область;39272;18736;1293;19243
Уральский федеральный округ;362126;167072;6070;188984
   Курганская область;21232;6756;145;14331
   Свердловская область;135370;65825;3970;65575
   Тюменская область;65337;30694;273;34370
   Челябинская область;110303;49497;1682;59124
   Ханты-Мансийский автономный округ;27287;13881;0;13406
   Ямало-Ненецкий автономный округ;2597;419;0;2178
Сибирский федеральный округ;570776;297941;10194;262641
   Республика Алтай;3334;2012;0;1322
   Республика Тыва;4990;2526;60;2404
   Республика Хакасия;8614;4677;71;3866
   Алтайский край;60711;30232;843;29636
   Красноярский край;89690;48930;1433;39327
   Иркутская область;79228;43200;507;35521
   Кемеровская область;61619;29080;1684;30855
   Новосибирская область;110331;60207;2000;48124
   Омская область;88706;39928;1554;47224
   Томская область;63553;37149;2042;24362
Дальневосточный федеральный округ;239980;121725;2706;115549
   Республика Бурятия;33574;15273;234;18067
   Республика Саха (Якутия);26851;16005;221;10625
   Забайкальский край;26996;11177;84;15735
   Камчатский край;6396;2281;0;4115
   Приморский край;54181;34793;1173;18215
   Хабаровский край;55673;26594;584;28495
   Амурская область;19361;10148;270;8943
   Магаданская область;4451;1274;0;3177
   Сахалинская область;8889;2948;99;5842
   Еврейская автономная область;3148;1132;41;1975
   Чукотский автономный округ;460;100;0;360
